,pitch_name,player_name,release_speed,release_spin_rate,spin_axis
0,Changeup,"Morton, Charlie",86.4,2238.0,261.0
1,Curveball,"Morton, Charlie",80.6,3026.0,52.0
2,4-Seam Fastball,"Morton, Charlie",94.3,2378.0,230.0
3,Changeup,"Morton, Charlie",87.1,2269.0,265.0
4,4-Seam Fastball,"Morton, Charlie",93.8,2341.0,235.0
5,4-Seam Fastball,"Morton, Charlie",93.7,2332.0,235.0
6,Curveball,"Morton, Charlie",80.0,3047.0,60.0
7,Sinker,"Morton, Charlie",93.6,2166.0,240.0
8,Cutter,"Morton, Charlie",88.1,2471.0,230.0
9,Sinker,"Morton, Charlie",92.5,2166.0,240.0
10,Curveball,"Morton, Charlie",80.3,2950.0,55.0
11,Curveball,"Morton, Charlie",79.8,3036.0,55.0
12,Cutter,"Morton, Charlie",86.6,2498.0,168.0
13,Curveball,"Morton, Charlie",79.9,3037.0,67.0
14,Sinker,"Morton, Charlie",93.6,2166.0,237.0
15,4-Seam Fastball,"Morton, Charlie",93.9,2294.0,233.0
16,Curveball,"Morton, Charlie",80.3,3095.0,50.0
17,Curveball,"Morton, Charlie",79.8,3063.0,59.0
18,Cutter,"Morton, Charlie",87.5,2484.0,190.0
19,Curveball,"Morton, Charlie",81.4,3075.0,59.0
20,4-Seam Fastball,"Morton, Charlie",94.9,2467.0,240.0
21,4-Seam Fastball,"Morton, Charlie",94.7,2381.0,240.0
22,Changeup,"Morton, Charlie",85.6,2151.0,265.0
23,Cutter,"Morton, Charlie",86.6,2565.0,194.0
24,Sinker,"Morton, Charlie",92.9,2205.0,238.0
25,Cutter,"Morton, Charlie",86.6,2415.0,185.0
26,Curveball,"Morton, Charlie",79.8,3034.0,51.0
27,Curveball,"Morton, Charlie",81.3,3230.0,62.0
28,4-Seam Fastball,"Morton, Charlie",94.0,2374.0,239.0
29,Cutter,"Morton, Charlie",88.0,2542.0,179.0
30,Cutter,"Morton, Charlie",87.9,2511.0,201.0
31,Curveball,"Morton, Charlie",80.8,3202.0,59.0
32,Curveball,"Morton, Charlie",79.9,2998.0,62.0
33,Curveball,"Morton, Charlie",79.9,3117.0,56.0
34,4-Seam Fastball,"Morton, Charlie",93.8,2362.0,237.0
35,Curveball,"Morton, Charlie",80.7,3122.0,59.0
36,Cutter,"Morton, Charlie",87.1,2571.0,192.0
37,Sinker,"Morton, Charlie",94.1,2237.0,242.0
38,Sinker,"Morton, Charlie",95.0,2212.0,240.0
39,Sinker,"Morton, Charlie",95.5,2188.0,240.0
40,Curveball,"Morton, Charlie",80.1,2986.0,136.0
41,Curveball,"Morton, Charlie",80.4,3158.0,64.0
42,Sinker,"Morton, Charlie",93.0,2119.0,244.0
43,Curveball,"Morton, Charlie",79.9,3027.0,65.0
44,Curveball,"Morton, Charlie",81.5,3109.0,57.0
45,Curveball,"Morton, Charlie",81.0,3164.0,62.0
46,4-Seam Fastball,"Morton, Charlie",95.4,2420.0,235.0
47,Changeup,"Morton, Charlie",85.7,2285.0,268.0
48,Cutter,"Morton, Charlie",86.3,2617.0,112.0
49,Curveball,"Morton, Charlie",80.2,3062.0,58.0
50,4-Seam Fastball,"Morton, Charlie",94.1,2221.0,236.0
51,Sinker,"Morton, Charlie",93.5,2066.0,243.0
52,Curveball,"Morton, Charlie",79.6,3196.0,59.0
53,Curveball,"Morton, Charlie",79.8,3158.0,54.0
54,Cutter,"Morton, Charlie",87.4,2538.0,169.0
55,4-Seam Fastball,"Morton, Charlie",94.1,2271.0,232.0
56,Sinker,"Morton, Charlie",94.8,2251.0,241.0
57,Sinker,"Morton, Charlie",94.0,2198.0,239.0
58,Curveball,"Morton, Charlie",81.2,3055.0,45.0
59,4-Seam Fastball,"Morton, Charlie",94.6,2302.0,242.0
60,Cutter,"Morton, Charlie",86.6,2546.0,196.0
61,4-Seam Fastball,"Morton, Charlie",94.0,2330.0,237.0
62,4-Seam Fastball,"Morton, Charlie",95.5,2388.0,234.0
63,Sinker,"Morton, Charlie",93.4,2111.0,240.0
64,4-Seam Fastball,"Morton, Charlie",94.3,2208.0,240.0
65,Changeup,"Morton, Charlie",86.3,2196.0,264.0
66,Cutter,"Morton, Charlie",87.0,2583.0,169.0
67,4-Seam Fastball,"Morton, Charlie",95.2,2291.0,229.0
68,Curveball,"Morton, Charlie",79.6,3191.0,60.0
69,4-Seam Fastball,"Morton, Charlie",95.4,2430.0,235.0
70,Curveball,"Morton, Charlie",79.2,3043.0,60.0
71,Curveball,"Morton, Charlie",79.4,3198.0,57.0
72,Curveball,"Morton, Charlie",80.5,3162.0,64.0
73,Changeup,"Morton, Charlie",86.5,2234.0,261.0
74,Curveball,"Morton, Charlie",80.6,3224.0,58.0
75,Sinker,"Morton, Charlie",95.3,2309.0,237.0
76,4-Seam Fastball,"Morton, Charlie",95.4,2434.0,232.0
77,Curveball,"Morton, Charlie",80.2,3210.0,56.0
78,Curveball,"Morton, Charlie",80.7,3278.0,57.0
79,Curveball,"Morton, Charlie",80.8,3256.0,66.0
80,Sinker,"Morton, Charlie",95.7,2121.0,232.0
81,Sinker,"Morton, Charlie",95.6,2189.0,237.0
82,4-Seam Fastball,"Morton, Charlie",95.0,2412.0,234.0
83,Curveball,"Morton, Charlie",81.0,3185.0,59.0
84,Changeup,"Morton, Charlie",88.5,2117.0,261.0
85,4-Seam Fastball,"Morton, Charlie",96.2,2376.0,235.0
86,4-Seam Fastball,"Morton, Charlie",96.0,2541.0,236.0
87,Curveball,"Morton, Charlie",80.6,3101.0,62.0
88,4-Seam Fastball,"Morton, Charlie",95.7,2524.0,235.0
89,Curveball,"Morton, Charlie",81.4,3119.0,57.0
90,Curveball,"Morton, Charlie",81.1,3095.0,53.0
91,4-Seam Fastball,"Morton, Charlie",95.4,2258.0,234.0
92,Cutter,"Morton, Charlie",88.0,2586.0,189.0
93,Changeup,"Morton, Charlie",88.0,2081.0,266.0
94,Sinker,"Morton, Charlie",95.9,2051.0,238.0
95,4-Seam Fastball,"Morton, Charlie",95.5,2464.0,236.0
96,Curveball,"Morton, Charlie",79.6,3074.0,53.0
97,4-Seam Fastball,"Morton, Charlie",95.6,2516.0,236.0
98,Cutter,"Morton, Charlie",90.5,2522.0,206.0
99,4-Seam Fastball,"Morton, Charlie",95.8,2467.0,237.0
100,4-Seam Fastball,"Morton, Charlie",97.1,2338.0,231.0
101,Curveball,"Morton, Charlie",81.2,3291.0,58.0
102,Curveball,"Morton, Charlie",80.8,3125.0,60.0
103,Curveball,"Morton, Charlie",80.6,3255.0,52.0
104,4-Seam Fastball,"Morton, Charlie",95.6,2458.0,230.0
105,Curveball,"Morton, Charlie",80.8,2965.0,59.0
106,Curveball,"Morton, Charlie",81.1,2876.0,54.0
107,Curveball,"Morton, Charlie",80.8,2936.0,64.0
108,Curveball,"Morton, Charlie",80.9,3033.0,57.0
109,4-Seam Fastball,"Morton, Charlie",94.4,2336.0,228.0
110,Curveball,"Morton, Charlie",81.7,2830.0,56.0
111,Sinker,"Morton, Charlie",94.3,2214.0,240.0
112,Sinker,"Morton, Charlie",94.5,2215.0,234.0
113,Sinker,"Morton, Charlie",93.7,2212.0,235.0
